sig,args,wer,wer_per_talk
limegreenCroconaw,"['uda.kernel_size=9', 'uda.sigma=2.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""euler""']",0.9550679783353598,"{'AlGore_2009': 0.9804421768707483, 'BarrySchwartz_2005G': 0.9438031591737546, 'BlaiseAguerayArcas_2007': 0.9596231493943472, 'BrianCox_2009U': 0.9593908629441624, 'CraigVenter_2008': 0.9772162386081193, 'DavidMerrill_2009': 0.9632867132867133, 'ElizabethGilbert_2009': 0.9463672391017173, 'WadeDavis_2003': 0.9474560152163576}"
olivedrabTogepi,"['uda.kernel_size=9', 'uda.sigma=2.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""euler""']",0.9545153089421908,"{'AlGore_2009': 0.9753401360544217, 'BarrySchwartz_2005G': 0.9462332928311057, 'BlaiseAguerayArcas_2007': 0.9596231493943472, 'BrianCox_2009U': 0.9543147208121827, 'CraigVenter_2008': 0.9776304888152444, 'DavidMerrill_2009': 0.9702797202797203, 'ElizabethGilbert_2009': 0.9445178335535006, 'WadeDavis_2003': 0.9448407037565383}"
silverVileplume,"['uda.kernel_size=9', 'uda.sigma=0.1', 'uda.encoding=""ode""', 'uda.decoding=""ode""']",0.5847794849121256,"{'AlGore_2009': 0.8622448979591837, 'BarrySchwartz_2005G': 0.36816524908869985, 'BlaiseAguerayArcas_2007': 0.8371467025572006, 'BrianCox_2009U': 0.5245346869712352, 'CraigVenter_2008': 0.7601491300745651, 'DavidMerrill_2009': 0.40996503496503495, 'ElizabethGilbert_2009': 0.285336856010568, 'WadeDavis_2003': 0.8124108416547788}"
limegreenSkiploom,"['uda.kernel_size=3', 'uda.sigma=1.0', 'uda.encoding=""prior_sampling""', 'uda.decoding=""ode""']",0.9190892008400575,"{'AlGore_2009': 0.9685374149659864, 'BarrySchwartz_2005G': 0.8863912515188336, 'BlaiseAguerayArcas_2007': 0.9502018842530283, 'BrianCox_2009U': 0.9137055837563451, 'CraigVenter_2008': 0.9623032311516155, 'DavidMerrill_2009': 0.9326923076923077, 'ElizabethGilbert_2009': 0.8647291941875825, 'WadeDavis_2003': 0.9410366143604375}"
rosybrownDewgong,"['uda.kernel_size=5', 'uda.sigma=0.1', 'uda.encoding=""ode""', 'uda.decoding=""euler""']",0.5862716922736819,"{'AlGore_2009': 0.8613945578231292, 'BarrySchwartz_2005G': 0.36573511543134873, 'BlaiseAguerayArcas_2007': 0.8405114401076716, 'BrianCox_2009U': 0.5177664974619289, 'CraigVenter_2008': 0.7609776304888153, 'DavidMerrill_2009': 0.4160839160839161, 'ElizabethGilbert_2009': 0.28797886393659183, 'WadeDavis_2003': 0.8162149310508797}"
saddlebrownQuagsire,"['uda.kernel_size=5', 'uda.sigma=1.0', 'uda.encoding=""ode""', 'uda.decoding=""ode""']",0.5836188791864707,"{'AlGore_2009': 0.8622448979591837, 'BarrySchwartz_2005G': 0.3672539489671932, 'BlaiseAguerayArcas_2007': 0.8324360699865411, 'BrianCox_2009U': 0.5177664974619289, 'CraigVenter_2008': 0.7580778790389395, 'DavidMerrill_2009': 0.40996503496503495, 'ElizabethGilbert_2009': 0.2848084544253633, 'WadeDavis_2003': 0.8124108416547788}"
forestgreenTentacruel,"['uda.kernel_size=3', 'uda.sigma=0.1', 'uda.encoding=""ode""', 'uda.decoding=""euler""']",0.5862716922736819,"{'AlGore_2009': 0.8613945578231292, 'BarrySchwartz_2005G': 0.36573511543134873, 'BlaiseAguerayArcas_2007': 0.8405114401076716, 'BrianCox_2009U': 0.5177664974619289, 'CraigVenter_2008': 0.7609776304888153, 'DavidMerrill_2009': 0.4160839160839161, 'ElizabethGilbert_2009': 0.28797886393659183, 'WadeDavis_2003': 0.8162149310508797}"
darkseagreenCharmeleon,"['uda.kernel_size=9', 'uda.sigma=0.1', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""euler""']",0.9195313363545927,"{'AlGore_2009': 0.9710884353741497, 'BarrySchwartz_2005G': 0.899453219927096, 'BlaiseAguerayArcas_2007': 0.9401076716016151, 'BrianCox_2009U': 0.9289340101522843, 'CraigVenter_2008': 0.9693454846727423, 'DavidMerrill_2009': 0.9265734265734266, 'ElizabethGilbert_2009': 0.8602377807133421, 'WadeDavis_2003': 0.9350927246790299}"
lightseagreenArcanine,"['uda.kernel_size=3', 'uda.sigma=1.0', 'uda.encoding=""ode""', 'uda.decoding=""euler""']",0.5863822261523157,"{'AlGore_2009': 0.8554421768707483, 'BarrySchwartz_2005G': 0.3669501822600243, 'BlaiseAguerayArcas_2007': 0.84185733512786, 'BrianCox_2009U': 0.5194585448392555, 'CraigVenter_2008': 0.7638773819386909, 'DavidMerrill_2009': 0.4178321678321678, 'ElizabethGilbert_2009': 0.2866578599735799, 'WadeDavis_2003': 0.8157394198763671}"
mediumvioletredTorchic,"['uda.kernel_size=9', 'uda.sigma=2.0', 'uda.encoding=""ode""', 'uda.decoding=""euler""']",0.5866585608489002,"{'AlGore_2009': 0.8622448979591837, 'BarrySchwartz_2005G': 0.3687727825030377, 'BlaiseAguerayArcas_2007': 0.8391655450874832, 'BrianCox_2009U': 0.5126903553299492, 'CraigVenter_2008': 0.7630488815244407, 'DavidMerrill_2009': 0.416958041958042, 'ElizabethGilbert_2009': 0.28797886393659183, 'WadeDavis_2003': 0.8150261531145981}"
